Risk ID,Domain,Asset/Process,Risk Statement,Likelihood (1-5),Impact (1-5),Risk Score,Priority,Existing Controls,Mitigation Strategy,Risk Owner,Target Date,Status
R-001,Infrastructure,Identity and Access Management,Privileged account misuse due to excessive standing access and weak periodic review,4,5,20,High,MFA for admins; quarterly manual access review,Implement PAM with just-in-time access and monthly automated access recertification,Head of IT Security,2026-05-30,In Progress
R-002,Infrastructure,Endpoint Security,Ransomware infection from unmanaged endpoints and delayed patching,4,4,16,High,EDR on managed endpoints; baseline hardening,Expand asset inventory coverage to 100% and enforce 14-day critical patch SLA,Infrastructure Manager,2026-06-15,In Progress
R-003,Infrastructure,Network Segmentation,Lateral movement risk due to flat internal network segments,3,5,15,High,Firewall controls between external/internal zones,Design and implement micro-segmentation for critical systems and admin networks,Network Architect,2026-07-10,Planned
R-004,Applications,Secure SDLC,Production vulnerabilities introduced from inconsistent SAST/DAST use in CI/CD,3,4,12,Medium,Peer review and manual security testing for major releases,Enforce SAST on pull requests and DAST before release gates,Application Security Lead,2026-05-20,In Progress
R-005,Applications,Secrets Management,Hard-coded API keys and credentials in source repositories,3,5,15,High,Repository scanning enabled for public repos,Migrate secrets to vault and block secrets in commits via pre-receive hooks,DevOps Manager,2026-04-30,In Progress
R-006,Applications,Audit Logging,Insufficient centralized logs for critical application events and admin actions,3,4,12,Medium,Local app logs retained for 14 days,Forward security-relevant logs to SIEM with 365-day retention and alerting,Security Operations Lead,2026-06-01,Planned
R-007,Data,Data Classification,Sensitive data exposure due to inconsistent classification and handling practices,4,4,16,High,Ad hoc labeling by data owners,Implement enterprise data classification policy and automated labeling controls,Data Governance Lead,2026-07-01,Planned
R-008,Data,Encryption at Rest,Legacy data stores not using encryption at rest,2,5,10,Medium,TLS enforced in transit for all production services,Enable encryption at rest for legacy databases and rotate encryption keys,Database Administrator,2026-05-25,Planned
R-009,Data,Backup and Recovery,Backup restores are untested creating recovery uncertainty during incidents,3,5,15,High,Daily backups with offsite replication,Run quarterly restore drills and document RTO/RPO validation evidence,Business Continuity Manager,2026-06-30,In Progress
R-010,Cross-Functional,Third-Party Risk,Third-party SaaS vendors lack formal periodic security reassessment,3,4,12,Medium,Initial vendor questionnaire during onboarding,Establish annual vendor risk review with SOC reports and remediation tracking,Vendor Risk Manager,2026-08-15,Planned
